Name;Version;Publisher;Install Date & Time;Uninstall;Registry Hive;Registry Path
Discord;0.0.305;Discord Inc.;13/03/2019 08:51;"""C:\Users\schoderg\AppData\Local\Discord\Update.exe"" --uninstall -s";HKEY_USERS;S-1-5-21-2901163039-3281240111-3707936290-143659\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Discord
Divinity: Original Sin 2;;Larian Studios;24/01/2019 08:35;"""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/435150";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Steam App 435150
Epic Battle Fantasy 5;;Matt Roszak;18/12/2018 09:10;"""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/432350";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Steam App 432350
FileMaker Pro 16 (x64);16.0.1.162;FileMaker, Inc.;14/11/2018 10:48;"""C:\Program Files\FileMaker\FileMaker Pro 16\Setup\Uninstall.exe"" {361B97E8-0752-4BFD-9EAE-891CE9B4F9E3} ""FileMaker Pro 16""";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{361B97E8-0752-4BFD-9EAE-891CE9B4F9E3}_FileMaker
FreeMind;1.0.1;;06/12/2018 16:09;"""C:\Program Files (x86)\FreeMind\unins000.exe"" /SILENT";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\B991B020-2968-11D8-AF23-444553540000_is1
Freeplane;1.6.12;Open source;19/12/2018 15:00;"""C:\Program Files\Freeplane\unins000.exe"" /SILENT";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{D3941722-C4DD-4509-88C4-0E87F675A859}_is1
FusionInventory Agent 2.3.20 (x64 edition);2.3.20;FusionInventory Team;28/09/2018 10:34;"""C:\Program Files\FusionInventory-Agent\Uninstall.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\FusionInventory-Agent
GanttProject;;;06/11/2018 13:50;"""C:\Program Files (x86)\GanttProject-2.8\uninstall.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\GanttProject
Git version 2.21.0;2.21.0;The Git Development Community;11/03/2019 15:52;"""C:\Program Files\Git\unins000.exe"" /SILENT";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Git_is1
Google Chrome;72.0.3626.121;Google Inc.;05/03/2019 08:49;"""C:\Program Files (x86)\Google\Chrome\Application\72.0.3626.121\Installer\setup.exe"" --uninstall --system-level --verbose-logging";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Google Chrome
